---,SpeakerId_98_4545BC1649FF961776C879814ED04482,Text_2_304456A840A1E72479BBA190DEC32D20,ResponseText_111_FDCE04EF439B7039860F51B389752F40,Branches_101_EB181D3D4BACBDDA6BD19EA115A76FF2,Traits_108_CF1C343E44F731ACC3FA90AB0BA698FA,Conditions_110_7AFA096940B02E71BDBFE88BB5E3F381,PreAction_116_88FD9BDE4C99F3B78CD29FA5BB3A236C,PostAction_117_BDEC452548220DE27B5C93A0991D6CB3,AudioClip_121_92CC0AA3427642A7B3FCFEBCF9EC7989
TownStart1_MK,Starlight,Follow me.,,TownStart2;,,,,UseMKControls();,None
TownStart1_XB360,Starlight,Follow me.,,TownStart2;,,,,UseXB360Controls();,None
TownStart2,Instructions,"Use the $MoveControls$ to move, and the $LookControls$ to look around.",,,,,,close();,None
FenceJump1_MK,Starlight,"Hey, I was just here!",,FenceJump2;,,,,UseMKControls();,None
FenceJump1_XB360,Starlight,"Hey, I was just here!",,FenceJump2;,,,,UseXB360Controls();,None
FenceJump2,Starlight,I totally knew this is where we would end up.,,FenceJump3;,,,,,None
FenceJump3,Starlight,Auuuugh!,,FenceJump4;,,,,,None
FenceJump4,Dusk,...?!?,,FenceJump5;,,,,,None
FenceJump5,Starlight,"Alright, so. There are other kids in this world, right? I told you about that.",,FenceJump6;,,,,,None
FenceJump6,Starlight,"These kids need help. Right before I stumbled across you, I was right here with my friend. ",,FenceJump7;,,,,,None
FenceJump7,Starlight,I was trying to help her find her home. But I guess she went on without me.,,FenceJump8;,,,,,None
FenceJump8,Starlight,Follow me.,,FenceJump9;,,,,,None
FenceJump9,Dusk,?,,FenceJump10;,,,,,None
FenceJump10,Starlight,The heck is wrong with you kid?,,FenceJump11;,,,,,None
FenceJump11,Starlight,Haven't you ever hopped a fence before?,,FenceJump12;,,,,,None
FenceJump12,Dusk,...?,,FenceJump13;,,,,,None
FenceJump13,Starlight,Forget it. I don't have time for this.,,FenceJump14;,,,,,None
FenceJump14,Starlight,"Follow me when you're ready, I'll be up ahead.",,FenceJump15;,,,,,None
FenceJump15,Instructions,Press the $JumpControls$ to jump.,,,,,,close();,None
TK1_MK,Starlight,She must have jumped right over. Figures.,,TK2;,,,,UseMKControls();,None
TK1_XB360,Starlight,She must have jumped right over. Figures.,,TK2,,,,UseXB360Controls();,None
TK2,Starlight,If only we had some way of moving it?,,TK3,,,,,None
TK3,Instructions,"Use the $TelekinesisPickUpControls$ to pick up objects, and the $TelekinesisThrowControls$ to throw them.",,TK4,,,,close();,None
TK4,Starlight,"Oh, hey Dusk.",,TK5,,,,,None
TK5,Starlight,Hey! You jumped the fence! I knew you could do it.,,TK6,,,,,None
TK6,Starlight,"I was just saying, I'm pretty sure my friend went this way. I bet she jumped right over this wall.",,TK7,,,,,None
TK7,Dusk,?,,TK8,,,,,None
TK8,Starlight,"Oh, no no! My friend is good at jumping. She's not weird or anything.",,TK9,,,,,None
TK9,Starlight,Everyone here in this world is special. They each have some kind of power.,,TK10,,,,,None
TK10,Starlight,"Like, my power is light. I can control it.",,TK11,,,,,None
TK11,Starlight,I wonder what your power will be!,,TK12,,,,,None
TK12,Starlight,"Alright, time to show this wall who's boss.",,TK13,,,,,None
TK13,Dusk,..!,,TK14,,,,,None
TK14,Starlight,Ugh?.,,TK15,,,,,None
TK15,Starlight,Dusk!,,TK16,,,,,None
TK16,Dusk,?!,,TK17,,,,,None
TK17,Starlight,Dusk! That's your power! You can move stuff with you mind?? So cool!,,TK18,,,,,None
TK18,Starlight,And you saved me! Thank you!,,TK19,,,,,None
