CookerStat, GenerateAssetRegistry=0.024632, Initialize=0.123434, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7EC5B8D24FF96B809D5768B211A969D5__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=458, Duration=2.273280, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C8AD6F9C4C2087D072F933B25C392ACA__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=458, Duration=1.945045, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_56EB7E0A47A45E90E6ED638641D135A3__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=1.682960, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B8FEA4D848321EB9F4B421A15AB430EB__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=630, Duration=1.633696, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D32B90A9466C8E131246C18DA7458C79__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=525, Duration=2.000954, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2F5E005449C284B608BCE3A41D87B9C4__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=659, Duration=1.565058, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2694D74D4E514FB4DA477FACC3A09AC9__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=592, Duration=1.577236, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F7895747454535311E996DB8A0C07BCE__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=378, Duration=4.437517, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1C644E0741D3408E807C2592FAF76F4B__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=1.417823, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_18E7F4364C6D022BFB337788CBC7BF98__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=366, Duration=3.600605, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_185270BE4E0FB00741FD57A3E6690289__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=328, Duration=3.367856, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
