CookerStat, GenerateAssetRegistry=0.022139, Initialize=0.122603, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EBB9B0F0413F47830FB61B8B84CE7CCD__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=458, Duration=2.109442, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4620E4774F7DBBC56FEB5FA69CE6D0A2__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=458, Duration=2.020601, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6B418D4D4626B7F465232F8E0D22841F__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.931485, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_010311A9485E113E584ABEBDE9D77699__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=630, Duration=1.699008, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_50C5DCEB4F23A14DC554278DD4DDCE56__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=525, Duration=2.229001, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5D9D8F994371386A1DBFC19FABE06FB8__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=659, Duration=1.444947, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_275C678C45783FD52484238B14F658CE__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=592, Duration=1.713678, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D27C3F014A223DF0369104B8AC9497F5__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=378, Duration=1.915712, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E849DBF74CF48842A7B25F959CAF1711__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.386825, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1EBCAD8A47AA4A43E911C3AD19844F21__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.694579, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4C2363E24A250E1A540E1495529A0581__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=328, Duration=1.288582, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
