CookerStat, GenerateAssetRegistry=0.022590, Initialize=0.191852, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BA5FEB7E45EB21F435488CAA741D70EB__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=458, Duration=4.251115, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B49527ED4AF06D9A101F6D946BD34B96__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=458, Duration=3.686704, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3B56FA444FACFF8D853134A89D2F76F1__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.768928, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B0B6055C43C2C4A7A59F4DB6679A39B7__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=630, Duration=4.261654, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E383D64A44EC0EC520366594D721A359__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=525, Duration=3.525276, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_626E1F74434F4EC35D217B93C36D4900__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=659, Duration=3.199100, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A036A34F4AFC4E98351BB683243C6585__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=592, Duration=13.482489, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DF9E36F14FF7AA0C8E59F5864620125B__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=378, Duration=3.340051, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_21EEECAB44AB5342BB20F484056A9807__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.268674, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_51951C5B42FB20672061BBBB5CCA0C00__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.678877, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_53B025A7435F216023049F86DBAEDD42__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=328, Duration=3.026225, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D2C540C4774E046D23FBE95F8E30712__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=702, Duration=3.209643, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F3D943574B6C789B0A7441A28D79BF57__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=435, Duration=4.102633, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0A06330B421E331B7EF4B6B8D73AA9BA__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=485, Duration=3.646653, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E0A3F882478531AE86E5B48EC1D86E71__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=392, Duration=3.312644, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7B3F27C24FED33AA5CF982975B3D4AC6__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.189463, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FAD8804C42F3E0B79208F2A1B24DB397__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=397, Duration=3.421973, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF4A68AE426771EEB5D89A8F9E709179__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=492, Duration=3.948733, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A02C371F4D24FFE41D7B1D8DB65C77BF__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=378, Duration=3.715322, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_70043C2E4C6C0487EE240593325CE61E__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=390, Duration=2.953641, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C70EB80E43C5258B67D2DFABD79B1F1E__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=378, Duration=3.495157, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C528FF05419250F81CDD65B155C7139A__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=411, Duration=3.456909, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E28B92D74C62F460607617B1167D0015__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.260844, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9250301143097C5DC395FFBBA04AA6BF__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=385, Duration=2.982855, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_28BC27DE4CAD903ED554859FD6265CFF__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.381915, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId3340189149B0B898869E51944A7F9113_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_32249BD944580630D9E5AC9841FFEA56__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=5.272705, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdB865317A4D263517271C61AEC01D40ED_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_974C13B24F7F200D9C657CB73479A251__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=4.169192, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_729C12114F9223E6ACDD3CA418043C21__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=347, Duration=3.826454, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D396275A42492035D2B2E2B726F8CA94__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=366, Duration=3.624365, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdBA947CEF4BCEC8283967ADA2C707C711_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_968EF8D549183F667033D39148AEEA5A__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=385, Duration=3.455404, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionId89658D7741EDEBF8B5F66887D9F34878_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_673A0EE04E1742D9FC6769BC1F6A7C96__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=428, Duration=4.372488, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
DDCTransactionIdCD6B689C4FA9DA37898579BC0D1453DA_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5E03A18F4B61D51A292A23B72140F972__1_0_13123_0, StartTime=2016.06.01-13.04.01, HierarchicalDDC=, DataSize=397, Duration=2.022102, RunGuid=RunID1A8723304741E4B91CD08DA7AB003F10
