CookerStat, GenerateAssetRegistry=0.024907, Initialize=0.119559, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A8DFC84B40C908B8FD4657AE67D6FD16__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=2.158154, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_01235A394E86800FB2B3108E7555AD8B__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=2.352987, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FD6B72944F3F097372A489818BB0037B__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=2.106119, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47A41B8C41696F61E873E48747097B44__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=1.672719, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1883056E4D07C21A4773F28CF60B7821__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=2.254739, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B82B7AC24BAD7DF6FDD1E59A492BBBDE__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=1.916822, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D53739F342ED671B8013CBBD982C48BC__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=1.844309, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6B085849431719F7E3B51594E7EC69E4__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=1.684897, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4C8344F64A081F3EFB9830B7C19C6667__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=1.793660, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4E4BBBD14B49987E37EA21A30E4E9954_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F8C5205545BD0EC3F03457AE143F4666_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.01-16.26.11, Duration=32.127605, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C09A3F1445D1611BF43A858E1A00B4A1__1_0_13123_0, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=458, Duration=1.943942, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
