CookerStat, GenerateAssetRegistry=0.023246, Initialize=0.118174, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_37D374334AEFDFD94D7A84A3692DD7CF__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=458, Duration=2.365720, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2A21E47D44B3C9E0BE1AD4845ADC04F3__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=458, Duration=2.202708, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2C7B95E243C9CF3840368C8CEF6E6AF2__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=4.317407, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F73A0FB94C5EF6CF41806A901A066DEE__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=630, Duration=1.653347, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FECF4CA8409B2B538E2EE68D0941608C__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=525, Duration=2.067927, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2B1E97DE4E6008DF897153B37F6F1BC3__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=659, Duration=1.666352, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CFE229094A3E60059FDF429C234FD891__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=592, Duration=1.522165, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1CB86FFD4E922334343F4584503D2047__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=378, Duration=1.544304, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BB0EA03C4126C42719772AA881211FA1__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=3.695533, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B777F8A64D45966FE7D97C8493DEA828__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=366, Duration=3.628559, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F9A882E545F31634BA1689AA68991CD2__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=328, Duration=3.624681, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
