---,SpeakerId_98_4545BC1649FF961776C879814ED04482,Text_2_304456A840A1E72479BBA190DEC32D20,ResponseText_111_FDCE04EF439B7039860F51B389752F40,Branches_101_EB181D3D4BACBDDA6BD19EA115A76FF2,Traits_108_CF1C343E44F731ACC3FA90AB0BA698FA,Conditions_110_7AFA096940B02E71BDBFE88BB5E3F381,PreAction_116_88FD9BDE4C99F3B78CD29FA5BB3A236C,PostAction_117_BDEC452548220DE27B5C93A0991D6CB3,AudioClip_121_92CC0AA3427642A7B3FCFEBCF9EC7989
PostCollapse0,Hidden,,,PostCollapse1,,,,PlaySequence();,None
PostCollapse1,Starlight,"NSLOCTEXT("""", ""034D07B44DE07AA5AF2EECA7A7575803"", ""Well, that was something, wasn\'t it it? Good work, team!"")",,PostCollapse2,,,,PlaySequence();,None
PostCollapse2,Helios,"NSLOCTEXT("""", ""D4AF807F4E362E593BFADBA81EB1E3B0"", ""My castle..."")",,PostCollapse3,,,,PlaySequence();,None
PostCollapse3,Helios,"NSLOCTEXT("""", ""6ED40FE949A01078845AF482D6E988F8"", ""I knew that the ocean would get it! You didn\'t believe me, but now look what happened!"")",,PostCollapse4,,,,PlaySequence();,None
PostCollapse4,Helios,"NSLOCTEXT("""", ""46959414427B96CAA1B26989CDCE33B1"", ""I just want to find my sister okay?! She would believe me!"")",,PostCollapse5,,,,PlaySequence();,None
PostCollapse5,Starlight,"NSLOCTEXT("""", ""087E73BA448BEFA66A7B40A94EB8470E"", ""Hey."")",,PostCollapse6,,,,PlaySequence();,None
PostCollapse6,Starlight,"NSLOCTEXT("""", ""735BB4294E6537A3348A0C8795FDD85D"", ""Let\'s go find your sister."")",,PostCollapse7,,,,PlaySequence();,None
PostCollapse7,Starlight,"NSLOCTEXT("""", ""E0EE42FE4FBD97559593719CF1E60577"", ""We\'ll be pals in no time, you\'ll see!"")",,PostCollapse8,,,,PlaySequence();,None
PostCollapse8,Starlight,"NSLOCTEXT("""", ""45EED998459BB1E1F356B0B5F168D834"", ""We\'re all here for you, okay? Together we\'ll find your sister in no time."")",,PostCollapse9,,,,PlaySequence();,None
PostCollapse9,Helios,"NSLOCTEXT("""", ""813F0ACB454E8C7AFEB673B1E2DC45CA"", ""I guess you guys aren\'t TERRIBLE. I\'ll let you travel with me for now."")",,PostCollapse10,,,,PlaySequence();,None
PostCollapse10,Starlight,"NSLOCTEXT("""", ""86BF456B4B4830579847839F4BDA287D"", ""Come on, we have a sister to find!"")",,,,,,close();,None
