---,SpeakerId_98_4545BC1649FF961776C879814ED04482,Text_2_304456A840A1E72479BBA190DEC32D20,ResponseText_111_FDCE04EF439B7039860F51B389752F40,Branches_101_EB181D3D4BACBDDA6BD19EA115A76FF2,Traits_108_CF1C343E44F731ACC3FA90AB0BA698FA,Conditions_110_7AFA096940B02E71BDBFE88BB5E3F381,PreAction_116_88FD9BDE4C99F3B78CD29FA5BB3A236C,PostAction_117_BDEC452548220DE27B5C93A0991D6CB3,AudioClip_121_92CC0AA3427642A7B3FCFEBCF9EC7989
ThroneRoom1,Helios,"NSLOCTEXT("""", ""90F614E34A1BACE22C2C3E8E5D6743B3"", ""How did you break free from your prison?!"")",,ThroneRoom2,,,"SetPassiveDialogue(true,1); AdvanceSlideshow(1);",AdvanceSlideshow();,None
ThroneRoom2,Starlight,"NSLOCTEXT("""", ""4E6CD6244E7DA84B4331FAA5AFA2896B"", ""Helios, listen to me. Your castle is falling apart. You need to leave with us before you get hurt."")",,ThroneRoom3,,,"SetPassiveDialogue(true,1); ",AdvanceSlideshow();,None
ThroneRoom3,Helios,"NSLOCTEXT("""", ""7EE1C43F45F8939F78C4BC95821DD936"", ""My castle isn\'t falling apart, it\'s been under attack by that stupid ocean outside!"")",,ThroneRoom4,,,"SetPassiveDialogue(true,1); AdvanceSlideshow(1);",AdvanceSlideshow();,None
ThroneRoom4,Starlight,"NSLOCTEXT("""", ""05CF622449D3CB8E31046E99854D7D7F"", ""Whatever, either way this place is coming down! We need to leave!"")",,ThroneRoom5,,,"SetPassiveDialogue(true,3); AdvanceSlideshow(2);",AdvanceSlideshow();,None
ThroneRoom5,Helios,"NSLOCTEXT("""", ""D967680A4AE45F4FE8E0BDB5F30A7EDE"", ""Even if it is crumbling I can\'t leave yet. I\'m waiting for my sister to find me."")",,ThroneRoom6,,,,,None
ThroneRoom6,Helios,"NSLOCTEXT("""", ""F2BC30094072FB62DBE154BDFE34BF5F"", ""And if I leave the ocean will tear my castle down!"")",,ThroneRoom7,,,,,None
ThroneRoom7,Starlight,"NSLOCTEXT("""", ""820A38CC498F19F3B069EE9608523798"", ""We\'ll help you find your sister! Just come with us to somewhere safe first. Trust us!"")",,ThroneRoom8,,,,,None
ThroneRoom8,Elliana,"NSLOCTEXT("""", ""7FCC453745E80CE2AA937AB350A9658D"", ""There\'s no way your sister is going to find you here! You would have seen her by now, so come on! We\'ll go find her instead!"")",,ThroneRoom9,,,"SetPassiveDialogue(true,1); ",AdvanceSlideshow();,None
ThroneRoom9,Elliana,"NSLOCTEXT("""", ""BB2E1E26488C2C5CCE28DF9656DF7D2C"", ""Not to mention the ocean isn\'t even close to your dumb castle."")",,ThroneRoom7,,,"SetPassiveDialogue(true,3); AdvanceSlideshow(4);",AdvanceSlideshow();,None
ThroneRoom10,Starlight,"NSLOCTEXT("""", ""DCB2190F4FB01F491F67DD84C7C75DA6"", ""Come on! We have to go!"")",,ThroneRoom8,,,"SetPassiveDialogue(true,1); AdvanceSlideshow(1);",AdvanceSlideshow();,None
ThroneRoom11,Elliana,"NSLOCTEXT("""", ""F77D018949295FF7303491A67F1B3C4B"", ""How are we gonna get out of here if it\'s all falling apart?"")",,ThroneRoom9,,,,AdvanceSlideshow();,None
ThroneRoom12,Helios,"NSLOCTEXT("""", ""DBB901B1422322BFEDB6FDBCAD5D9E4A"", ""Psh! Every king has a secret passage!"")",,ThroneRoom10,,,,AdvanceSlideshow();,None
ThroneRoom13,Starlight,"NSLOCTEXT("""", ""0A05C88D4585A526773769AA148C4901"", ""So show us!"")",,ThroneRoom11,,,"SetPassiveDialogue(true,4); AdvanceSlideshow(3);",AdvanceSlideshow();,None
ThroneRoom14,Starlight,"NSLOCTEXT("""", ""D266985547AC7DCAA369EE91512E8F70"", ""Yes! Let\'s go!"")",,ThroneRoom12,,,"SetPassiveDialogue(true,1); ",AdvanceSlideshow();,None
ThroneRoom15,Helios,"NSLOCTEXT("""", ""58A42E734D738318C92EE0A75520BF16"", ""Follow me!"")",,,,,,AdvanceSlideshow(); close();,None
