CookerStat, GenerateAssetRegistry=0.029817, Initialize=0.132218, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F1A3BAE348B445D5079213B9D469E123__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=458, Duration=5.104348, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_23B46AEA4D751E45635385BA9A7FEB97__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=458, Duration=4.392665, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_89E18B504BEF368A025D8790B3C4C7A5__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=458, Duration=3.956262, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FE906F094653093D7B8A9794A6A27733__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=458, Duration=4.585121, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1AF53505440C9E63A86EB5AF83F4F3B4__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=347, Duration=5.225118, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9E57242F487DF2088068019C19D4065F__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=630, Duration=3.965899, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D6E34F6E42C349298ED6BDBBDD12200D__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=435, Duration=3.993604, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9CB4C24145201AA2E39262BFD336CFBE__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1006, Duration=4.019208, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DE82FE604250701EF6B139A03079EB0A__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=525, Duration=3.439438, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D551DFBE4162A9A8FC85CCA1A7B8F055__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=449, Duration=3.627676, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E6A648AD4E941454B5BE059852C86826__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=13521, Duration=3.596053, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_23D4CFC64ADCE46D818D0882D0EF712F__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=480, Duration=3.419261, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F243A21740EA06464BCF4C974DB0B146__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=694, Duration=3.496665, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_033BE4D8454DE52289D79CBC091F5410__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1360, Duration=3.664419, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2D8716D74F0F2DBADDC8CFBCB9AFA958__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=499, Duration=3.726766, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E755304B497FF63A02609883BD92AF87__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=668, Duration=3.384326, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F04D27AA4D538432D0B46FAEA4EF5716__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=435, Duration=3.446370, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C4C45C564E1EB479E3A9D5BAFA8B0F63__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=485, Duration=3.602378, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1D20924C4F348A743754F194FB542143__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=739, Duration=4.197806, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_914E1E0842AB10E449487998CD6BDAEC__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=397, Duration=3.490943, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7877617C4EEBBCF62A717C99E210DA40__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=409, Duration=2.984062, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_81190C43460B7EE3BCE940AF4D50B675__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=347, Duration=3.089171, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A3A12A448A28D09EA7DB99F4D4169AB__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=347, Duration=3.958668, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A20B0E87404B3BA0348C7E936F87F2D5__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=366, Duration=3.646951, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdEFBD16A34D189E2F340C069A6B7A39AE_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1E187D78421C46BF297EF2BA31D71008__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1885, Duration=20.934507, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_06E999DB4B89A44048BBED86B7283CE8__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=977, Duration=3.717128, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AD0D87FB4CE9C923D73865899D490A4B__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=385, Duration=4.161962, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F46C374A4E2272D2331F2BB1215FF412__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=385, Duration=3.612317, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_634B4BE5484ADF2C7B5EFFB0A25803D6__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=392, Duration=3.861990, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BE12969A41D56C6007C723A2FCABF2C0__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=461, Duration=3.669843, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C8C87DD94F600AFA1328F4869A05B580__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=409, Duration=3.290057, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8D18AA434F32D67A0B465B86E023C80F__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=447, Duration=4.595358, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9E58B0AF47E9D659D4A4579FD8B55C9B__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=385, Duration=3.404807, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7B22E4594E7EF93994EE448DD8401BC6__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=1631, Duration=3.397580, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdF170BA1C4EADDB4D67CB0A8A647972EE_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7F2294DB4739770D54CA498DAB43A819__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=839, Duration=3.370170, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdAB88D0584CF12A5077A321AA664461AF_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BD1500BF4D228756BDC95188C00E4704__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=435, Duration=3.802359, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionIdA8D3D99346AB2FD3E3250B841603D544_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EE6C55AB492C94FE2562CAA72DBABC17__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=511, Duration=18.357038, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
DDCTransactionId6CA483DB45360C4075617B8F953FD3B7_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2365B5DC4C029469E9D34A949CE59B9A__1_0_13123_0, StartTime=2016.06.02-16.29.46, HierarchicalDDC=, DataSize=777, Duration=3.319874, RunGuid=RunIDEE16E2D24766A3A82115599441E71487
