CookerStat, GenerateAssetRegistry=0.023492, Initialize=0.123482, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_786BDCB34A6A9C33D85C78942E8D1D4E__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=458, Duration=2.342552, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_21F306DB492E8A05F133DEA24F5A84BE__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=458, Duration=2.288040, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_275BD5AA44F9F85C511F19B798992DCE__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=458, Duration=2.036255, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CA27660C4E0898EE17B7F7AB9120E51E__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=458, Duration=1.839887, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_443554A14CCB659E98D9879C243BEBCF__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=458, Duration=1.885667, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_80814384410E2948C5A32BB334BA1D24__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.934156, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_793DF6544B8772FA029C56B6E6EF48ED__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=630, Duration=1.412217, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6AD157E34DAB4D9558864DAEA2DFA5B7__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=525, Duration=1.820918, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FCDCA244426C5C25EA855FA37DEE2141__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=659, Duration=1.574553, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_739663A94C4CD8525A8838900242DF46__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=592, Duration=1.457095, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E5118AAC4B4879D115DD0AA3DE7A25A1__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=378, Duration=1.422159, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
