CookerStat, GenerateAssetRegistry=0.023525, Initialize=0.121497, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FCD51642432870A27CE787B07ADCCE1F__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=597, Duration=4.474886, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId07FC4C3046062C154D04B3A8CA8D58EE_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3B2036994D961927D08CE2B745497869__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=4345, Duration=3.956240, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5EB124964CC01726153B43B8D2FA79D5__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=4.035670, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId07FC4C3046062C154D04B3A8CA8D58EE_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_19C35DF645B7217857B300A2D38E0FD1__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=3.443964, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_96AA52C14CC7900FE181CFB1FEF737CE__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=3.237225, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_255D013144EA9DF19747D8B7E705D121__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=3.036026, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F32678224C7F565FAB272BA5EA8210A8__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=3.134549, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId533262894D31DCCD9CE479820A75C153_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9D6EB518405C9E3F673A2395DDF56B1E__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=3.625795, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId07FC4C3046062C154D04B3A8CA8D58EE_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4F6915AA48ACB642494903A5CDADE353__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=3.216196, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId4B51EC20439BC50BF29C0B93A02418DE_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_58726C4C4DABBDFBC01EEBB18004BCF9__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=3.071450, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
DDCTransactionId07FC4C3046062C154D04B3A8CA8D58EE_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9EC618F34A027C5ECC459387F423F0D4__1_0_13123_0, StartTime=2016.06.23-10.59.21, HierarchicalDDC=, DataSize=347, Duration=2.657697, RunGuid=RunIDE3FB9F944CCC9110875CBB98F5FC93A7
