CookerStat, GenerateAssetRegistry=0.022419, Initialize=0.115685, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_0, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=7.972538, FlushAsyncLoading=0.011068, FlushStreamingFunc=0.066701, BlockTillAllRequestsFinished=0.008024, ResetLoadersForSaveUnMarkAllObjects=1.333691, TagPackageExports=10.514275, BeginCacheForCookedPlatformData=0.003874, SerializeImports=11.692155, GatherLocalizableTextData=31.742920, MarkNames=0.099082, SerializeSummary=0.019647, SerializeNames=0.307754, SerializeGatherableTextData=0.357572, BuildExportMap=0.247143, SortExportsNonSeekfree=2.637494, SortExportsSeekfreeConstructor=0.061441, SortExportsSeekfreeInner=14.231950, SortExportsSeekfree=0.004705, BuildDependencyMap=0.180170, SerializeImportMap=0.022974, SerializeExportMap=0.105165, SerializeDependencyMap=0.038192, SerializeStringAssetReferenceMap=0.003319, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.206586, SerializeExports=19.229353, SerializeBulkData=0.024352, MoveFile=3.780778, UnaccountedTime=1.373269, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_1, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.145820, FlushAsyncLoading=0.003599, FlushStreamingFunc=0.067804, BlockTillAllRequestsFinished=0.006367, ResetLoadersForSaveUnMarkAllObjects=0.410710, TagPackageExports=13.816263, BeginCacheForCookedPlatformData=0.005256, SerializeImports=12.155168, GatherLocalizableTextData=31.548086, MarkNames=0.143636, SerializeSummary=0.016052, SerializeNames=0.313289, SerializeGatherableTextData=0.388287, BuildExportMap=0.231370, SortExportsNonSeekfree=2.738789, SortExportsSeekfreeConstructor=0.063930, SortExportsSeekfreeInner=14.316916, SortExportsSeekfree=0.007197, BuildDependencyMap=0.182658, SerializeImportMap=0.022143, SerializeExportMap=0.107381, SerializeDependencyMap=0.025462, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.098925, SerializeExports=18.749456, SerializeBulkData=0.008024, MoveFile=4.599422, UnaccountedTime=1.898553, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_2, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.374143, FlushAsyncLoading=0.003044, FlushStreamingFunc=0.118453, BlockTillAllRequestsFinished=0.006091, ResetLoadersForSaveUnMarkAllObjects=0.226937, TagPackageExports=9.703379, BeginCacheForCookedPlatformData=0.002488, SerializeImports=11.658389, GatherLocalizableTextData=30.842356, MarkNames=0.081364, SerializeSummary=0.014115, SerializeNames=0.281461, SerializeGatherableTextData=0.351761, BuildExportMap=0.226941, SortExportsNonSeekfree=2.719965, SortExportsSeekfreeConstructor=0.066977, SortExportsSeekfreeInner=13.921432, SortExportsSeekfree=0.004426, BuildDependencyMap=0.176020, SerializeImportMap=0.023525, SerializeExportMap=0.107657, SerializeDependencyMap=0.022139, SerializeStringAssetReferenceMap=0.002492, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.073187, SerializeExports=19.399282, SerializeBulkData=0.010516, MoveFile=4.569534, UnaccountedTime=1.364689, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_3, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.364182, FlushAsyncLoading=0.003599, FlushStreamingFunc=0.066422, BlockTillAllRequestsFinished=0.005811, ResetLoadersForSaveUnMarkAllObjects=0.243824, TagPackageExports=3.031597, BeginCacheForCookedPlatformData=0.002213, SerializeImports=4.635125, GatherLocalizableTextData=30.441057, MarkNames=0.080537, SerializeSummary=0.013009, SerializeNames=0.260703, SerializeGatherableTextData=0.347331, BuildExportMap=0.206735, SortExportsNonSeekfree=1.844589, SortExportsSeekfreeConstructor=0.051476, SortExportsSeekfreeInner=6.873258, SortExportsSeekfree=0.003323, BuildDependencyMap=0.137549, SerializeImportMap=0.014395, SerializeExportMap=0.076938, SerializeDependencyMap=0.018541, SerializeStringAssetReferenceMap=0.001941, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.441903, SerializeExports=9.338334, SerializeBulkData=0.005256, MoveFile=4.126169, UnaccountedTime=1.258966, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_4, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.391857, FlushAsyncLoading=0.003044, FlushStreamingFunc=0.102676, BlockTillAllRequestsFinished=0.004429, ResetLoadersForSaveUnMarkAllObjects=0.226110, TagPackageExports=3.094420, BeginCacheForCookedPlatformData=0.002492, SerializeImports=4.550163, GatherLocalizableTextData=30.481741, MarkNames=0.073060, SerializeSummary=0.014395, SerializeNames=0.269283, SerializeGatherableTextData=0.306647, BuildExportMap=0.190407, SortExportsNonSeekfree=1.817189, SortExportsSeekfreeConstructor=0.052031, SortExportsSeekfreeInner=6.891802, SortExportsSeekfree=0.004150, BuildDependencyMap=0.126477, SerializeImportMap=0.013009, SerializeExportMap=0.074171, SerializeDependencyMap=0.016332, SerializeStringAssetReferenceMap=0.001658, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.441352, SerializeExports=9.179201, SerializeBulkData=0.005256, MoveFile=4.042037, UnaccountedTime=1.300756, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_5, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.256524, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.106551, BlockTillAllRequestsFinished=0.005536, ResetLoadersForSaveUnMarkAllObjects=0.225835, TagPackageExports=3.280401, BeginCacheForCookedPlatformData=0.002492, SerializeImports=4.804224, GatherLocalizableTextData=33.974968, MarkNames=0.082474, SerializeSummary=0.013284, SerializeNames=0.249356, SerializeGatherableTextData=0.345945, BuildExportMap=0.204250, SortExportsNonSeekfree=2.036654, SortExportsSeekfreeConstructor=0.056457, SortExportsSeekfreeInner=7.324930, SortExportsSeekfree=0.004150, BuildDependencyMap=0.134226, SerializeImportMap=0.013560, SerializeExportMap=0.087179, SerializeDependencyMap=0.020757, SerializeStringAssetReferenceMap=0.003044, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.539599, SerializeExports=10.040190, SerializeBulkData=0.004429, MoveFile=4.109014, UnaccountedTime=1.335349, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_6, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.425898, FlushAsyncLoading=0.002768, FlushStreamingFunc=0.116516, BlockTillAllRequestsFinished=0.004705, ResetLoadersForSaveUnMarkAllObjects=0.222236, TagPackageExports=3.262136, BeginCacheForCookedPlatformData=0.002213, SerializeImports=4.821383, GatherLocalizableTextData=44.291088, MarkNames=0.083305, SerializeSummary=0.014111, SerializeNames=0.314120, SerializeGatherableTextData=0.435617, BuildExportMap=0.206735, SortExportsNonSeekfree=1.991268, SortExportsSeekfreeConstructor=0.052582, SortExportsSeekfreeInner=7.424563, SortExportsSeekfree=0.003874, BuildDependencyMap=0.133950, SerializeImportMap=0.013009, SerializeExportMap=0.088286, SerializeDependencyMap=0.019647, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.534063, SerializeExports=9.978752, SerializeBulkData=0.005811, MoveFile=4.188716, UnaccountedTime=1.423083, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_7, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.314642, FlushAsyncLoading=0.003599, FlushStreamingFunc=0.103783, BlockTillAllRequestsFinished=0.005536, ResetLoadersForSaveUnMarkAllObjects=0.230815, TagPackageExports=3.585387, BeginCacheForCookedPlatformData=0.002488, SerializeImports=5.079601, GatherLocalizableTextData=83.461052, MarkNames=0.104062, SerializeSummary=0.015222, SerializeNames=0.286721, SerializeGatherableTextData=0.787374, BuildExportMap=0.211719, SortExportsNonSeekfree=2.252802, SortExportsSeekfreeConstructor=0.059225, SortExportsSeekfreeInner=7.931027, SortExportsSeekfree=0.004150, BuildDependencyMap=0.151664, SerializeImportMap=0.026844, SerializeExportMap=0.090778, SerializeDependencyMap=0.025738, SerializeStringAssetReferenceMap=0.002217, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.614045, SerializeExports=10.817047, SerializeBulkData=0.006367, MoveFile=3.867678, UnaccountedTime=1.298543, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_8, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=5.544271, FlushAsyncLoading=0.010516, FlushStreamingFunc=0.123434, BlockTillAllRequestsFinished=0.008028, ResetLoadersForSaveUnMarkAllObjects=0.284780, TagPackageExports=3.388338, BeginCacheForCookedPlatformData=0.002768, SerializeImports=5.009577, GatherLocalizableTextData=107.832001, MarkNames=0.095759, SerializeSummary=0.013836, SerializeNames=0.286996, SerializeGatherableTextData=0.976123, BuildExportMap=0.215039, SortExportsNonSeekfree=1.972172, SortExportsSeekfreeConstructor=0.055350, SortExportsSeekfreeInner=7.416811, SortExportsSeekfree=0.003874, BuildDependencyMap=0.132013, SerializeImportMap=0.011627, SerializeExportMap=0.079982, SerializeDependencyMap=0.020482, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.513582, SerializeExports=10.066763, SerializeBulkData=0.004426, MoveFile=17.854147, UnaccountedTime=1.315426, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_9, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=8.105661, FlushAsyncLoading=0.008855, FlushStreamingFunc=0.059504, BlockTillAllRequestsFinished=0.007749, ResetLoadersForSaveUnMarkAllObjects=0.268731, TagPackageExports=3.665093, BeginCacheForCookedPlatformData=0.013836, SerializeImports=4.968066, GatherLocalizableTextData=132.450638, MarkNames=0.108488, SerializeSummary=0.014670, SerializeNames=0.303879, SerializeGatherableTextData=1.242913, BuildExportMap=0.228878, SortExportsNonSeekfree=2.048280, SortExportsSeekfreeConstructor=0.072233, SortExportsSeekfreeInner=7.831115, SortExportsSeekfree=0.004154, BuildDependencyMap=0.154428, SerializeImportMap=0.015222, SerializeExportMap=0.088006, SerializeDependencyMap=0.022694, SerializeStringAssetReferenceMap=0.002213, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.622073, SerializeExports=10.610309, SerializeBulkData=0.007197, MoveFile=3.857717, UnaccountedTime=1.600765, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
SavePackageTransactionId148EE82A43D68350341AC0839D73FA17_10, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.280321, FlushAsyncLoading=0.003047, FlushStreamingFunc=0.109039, BlockTillAllRequestsFinished=0.006367, ResetLoadersForSaveUnMarkAllObjects=0.250466, TagPackageExports=3.463611, BeginCacheForCookedPlatformData=0.002768, SerializeImports=5.095374, GatherLocalizableTextData=133.902512, MarkNames=0.119004, SerializeSummary=0.016052, SerializeNames=0.311907, SerializeGatherableTextData=1.237657, BuildExportMap=0.217251, SortExportsNonSeekfree=2.184723, SortExportsSeekfreeConstructor=0.072233, SortExportsSeekfreeInner=7.740062, SortExportsSeekfree=0.004429, BuildDependencyMap=0.161901, SerializeImportMap=0.015773, SerializeExportMap=0.086349, SerializeDependencyMap=0.036810, SerializeStringAssetReferenceMap=0.004150, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.049387, SerializeExports=10.676730, SerializeBulkData=0.005260, MoveFile=4.353665, UnaccountedTime=1.369670, RunGuid=RunID682FCD2B4EAA843B6B3DFFB3017B1B16
