CookerStat, GenerateAssetRegistry=0.023525, Initialize=0.118177, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_0, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=9.641383, FlushAsyncLoading=0.010241, FlushStreamingFunc=0.061162, BlockTillAllRequestsFinished=0.007197, ResetLoadersForSaveUnMarkAllObjects=0.949275, TagPackageExports=12.840420, BeginCacheForCookedPlatformData=0.003044, SerializeImports=16.131889, GatherLocalizableTextData=44.174015, MarkNames=0.127032, SerializeSummary=0.017714, SerializeNames=0.325188, SerializeGatherableTextData=0.395209, BuildExportMap=0.253510, SortExportsNonSeekfree=4.142776, SortExportsSeekfreeConstructor=0.055905, SortExportsSeekfreeInner=17.936346, SortExportsSeekfree=0.004426, BuildDependencyMap=0.209782, SerializeImportMap=0.019372, SerializeExportMap=0.148620, SerializeDependencyMap=0.031274, SerializeStringAssetReferenceMap=0.002768, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.843402, SerializeExports=25.989697, SerializeBulkData=0.020757, MoveFile=3.976721, UnaccountedTime=1.453526, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_1, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=5.883299, FlushAsyncLoading=0.002768, FlushStreamingFunc=0.087731, BlockTillAllRequestsFinished=0.004429, ResetLoadersForSaveUnMarkAllObjects=0.229985, TagPackageExports=12.585525, BeginCacheForCookedPlatformData=0.002217, SerializeImports=15.197832, GatherLocalizableTextData=44.433617, MarkNames=0.100460, SerializeSummary=0.013839, SerializeNames=0.321314, SerializeGatherableTextData=0.398532, BuildExportMap=0.246868, SortExportsNonSeekfree=4.102923, SortExportsSeekfreeConstructor=0.051200, SortExportsSeekfreeInner=17.948244, SortExportsSeekfree=0.004429, BuildDependencyMap=0.217531, SerializeImportMap=0.014670, SerializeExportMap=0.135887, SerializeDependencyMap=0.036530, SerializeStringAssetReferenceMap=0.014391, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.770338, SerializeExports=25.926043, SerializeBulkData=0.004981, MoveFile=4.174050, UnaccountedTime=1.368839, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_2, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=6.113287, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.059228, BlockTillAllRequestsFinished=0.005256, ResetLoadersForSaveUnMarkAllObjects=0.240780, TagPackageExports=13.522074, BeginCacheForCookedPlatformData=0.002764, SerializeImports=15.595813, GatherLocalizableTextData=59.716412, MarkNames=0.103232, SerializeSummary=0.013839, SerializeNames=0.311352, SerializeGatherableTextData=0.523899, BuildExportMap=0.269838, SortExportsNonSeekfree=4.274234, SortExportsSeekfreeConstructor=0.047605, SortExportsSeekfreeInner=18.662277, SortExportsSeekfree=0.004705, BuildDependencyMap=0.221130, SerializeImportMap=0.016607, SerializeExportMap=0.153046, SerializeDependencyMap=0.045665, SerializeStringAssetReferenceMap=0.003319, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.938606, SerializeExports=26.404556, SerializeBulkData=0.006642, MoveFile=4.036501, UnaccountedTime=1.395684, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_3, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=6.230350, FlushAsyncLoading=0.003047, FlushStreamingFunc=0.087455, BlockTillAllRequestsFinished=0.005536, ResetLoadersForSaveUnMarkAllObjects=0.228599, TagPackageExports=13.284337, BeginCacheForCookedPlatformData=0.003599, SerializeImports=16.593796, GatherLocalizableTextData=162.533585, MarkNames=0.990514, SerializeSummary=0.023525, SerializeNames=0.358123, SerializeGatherableTextData=1.600485, BuildExportMap=0.388291, SortExportsNonSeekfree=4.173215, SortExportsSeekfreeConstructor=0.077218, SortExportsSeekfreeInner=19.462936, SortExportsSeekfree=0.004705, BuildDependencyMap=0.251848, SerializeImportMap=0.015773, SerializeExportMap=0.138935, SerializeDependencyMap=0.032656, SerializeStringAssetReferenceMap=0.002492, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.122926, SerializeExports=26.278629, SerializeBulkData=0.007197, MoveFile=6.439857, UnaccountedTime=1.543473, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_4, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=6.060980, FlushAsyncLoading=0.003044, FlushStreamingFunc=0.086349, BlockTillAllRequestsFinished=0.004981, ResetLoadersForSaveUnMarkAllObjects=0.226110, TagPackageExports=13.656300, BeginCacheForCookedPlatformData=0.003044, SerializeImports=15.598025, GatherLocalizableTextData=192.571671, MarkNames=0.838023, SerializeSummary=0.020478, SerializeNames=0.321317, SerializeGatherableTextData=1.779824, BuildExportMap=0.268176, SortExportsNonSeekfree=4.265103, SortExportsSeekfreeConstructor=0.060331, SortExportsSeekfreeInner=19.511368, SortExportsSeekfree=0.004429, BuildDependencyMap=0.256002, SerializeImportMap=0.014946, SerializeExportMap=0.160240, SerializeDependencyMap=0.031270, SerializeStringAssetReferenceMap=0.014115, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.963793, SerializeExports=26.913788, SerializeBulkData=0.005536, MoveFile=3.510386, UnaccountedTime=1.365796, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_5, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=6.170575, FlushAsyncLoading=0.003044, FlushStreamingFunc=0.117067, BlockTillAllRequestsFinished=0.005260, ResetLoadersForSaveUnMarkAllObjects=0.227492, TagPackageExports=13.859991, BeginCacheForCookedPlatformData=0.003599, SerializeImports=15.307151, GatherLocalizableTextData=189.048004, MarkNames=0.869848, SerializeSummary=0.020757, SerializeNames=0.319652, SerializeGatherableTextData=1.752704, BuildExportMap=0.328511, SortExportsNonSeekfree=4.288625, SortExportsSeekfreeConstructor=0.065591, SortExportsSeekfreeInner=19.246235, SortExportsSeekfree=0.004705, BuildDependencyMap=0.256002, SerializeImportMap=0.015773, SerializeExportMap=0.143640, SerializeDependencyMap=0.032380, SerializeStringAssetReferenceMap=0.002492, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.971813, SerializeExports=26.101507, SerializeBulkData=0.008028, MoveFile=4.074693, UnaccountedTime=1.460724, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_6, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=6.208766, FlushAsyncLoading=0.002768, FlushStreamingFunc=0.116792, BlockTillAllRequestsFinished=0.006367, ResetLoadersForSaveUnMarkAllObjects=0.255723, TagPackageExports=13.234242, BeginCacheForCookedPlatformData=0.003323, SerializeImports=16.061037, GatherLocalizableTextData=49.818752, MarkNames=0.132013, SerializeSummary=0.015501, SerializeNames=0.326294, SerializeGatherableTextData=0.423715, BuildExportMap=0.260983, SortExportsNonSeekfree=4.403759, SortExportsSeekfreeConstructor=0.052307, SortExportsSeekfreeInner=19.698732, SortExportsSeekfree=0.004984, BuildDependencyMap=0.236072, SerializeImportMap=0.016049, SerializeExportMap=0.169098, SerializeDependencyMap=0.034317, SerializeStringAssetReferenceMap=0.002492, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.030766, SerializeExports=26.730576, SerializeBulkData=0.006367, MoveFile=4.097112, UnaccountedTime=0.335429, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_7, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=10.333833, FlushAsyncLoading=0.010237, FlushStreamingFunc=0.063378, BlockTillAllRequestsFinished=0.006918, ResetLoadersForSaveUnMarkAllObjects=0.269562, TagPackageExports=22.902750, BeginCacheForCookedPlatformData=0.003323, SerializeImports=25.275387, GatherLocalizableTextData=12.648899, MarkNames=0.063933, SerializeSummary=0.013560, SerializeNames=0.107657, SerializeGatherableTextData=0.200097, BuildExportMap=0.163011, SortExportsNonSeekfree=2.893217, SortExportsSeekfreeConstructor=0.052031, SortExportsSeekfreeInner=23.905993, SortExportsSeekfree=0.004705, BuildDependencyMap=0.127032, SerializeImportMap=0.013839, SerializeExportMap=0.088561, SerializeDependencyMap=0.019096, SerializeStringAssetReferenceMap=0.002492, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.221249, SerializeExports=30.654438, SerializeBulkData=0.009961, MoveFile=4.547119, UnaccountedTime=1.317639, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_8, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=6.272145, FlushAsyncLoading=0.003323, FlushStreamingFunc=0.086624, BlockTillAllRequestsFinished=0.006087, ResetLoadersForSaveUnMarkAllObjects=0.243824, TagPackageExports=24.103598, BeginCacheForCookedPlatformData=0.004150, SerializeImports=24.916433, GatherLocalizableTextData=12.710620, MarkNames=0.063654, SerializeSummary=0.013839, SerializeNames=0.101291, SerializeGatherableTextData=0.187367, BuildExportMap=0.162177, SortExportsNonSeekfree=2.789713, SortExportsSeekfreeConstructor=0.052027, SortExportsSeekfreeInner=23.519367, SortExportsSeekfree=0.004981, BuildDependencyMap=0.138931, SerializeImportMap=0.013284, SerializeExportMap=0.086349, SerializeDependencyMap=0.020757, SerializeStringAssetReferenceMap=0.002213, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.144039, SerializeExports=30.843458, SerializeBulkData=0.007197, MoveFile=4.415933, UnaccountedTime=1.327604, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_9, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Maps/ThirdPersonExampleMap.umap, AutoPackageBackupDelegate=17.194635, FlushAsyncLoading=0.013284, FlushStreamingFunc=0.059225, BlockTillAllRequestsFinished=0.007197, ResetLoadersForSaveUnMarkAllObjects=396.880615, TagPackageExports=17.122953, BeginCacheForCookedPlatformData=0.004154, SerializeImports=18.360611, GatherLocalizableTextData=26.283615, MarkNames=0.124540, SerializeSummary=0.018820, SerializeNames=0.620488, SerializeGatherableTextData=0.177402, BuildExportMap=0.585340, SortExportsNonSeekfree=3.432896, SortExportsSeekfreeConstructor=0.049260, SortExportsSeekfreeInner=69.446358, SortExportsSeekfree=0.005815, BuildDependencyMap=0.256829, SerializeImportMap=0.081643, SerializeExportMap=0.098251, SerializeDependencyMap=0.025462, SerializeStringAssetReferenceMap=0.002213, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.080029, SerializeExports=27.555309, SerializeBulkData=111.743683, MoveFile=4.372485, UnaccountedTime=1.367178, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
SavePackageTransactionId31CBE0824CB03971106889A708966E3C_10, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/SaveLoadFunctions.uasset, AutoPackageBackupDelegate=16.334198, FlushAsyncLoading=0.004150, FlushStreamingFunc=0.083026, BlockTillAllRequestsFinished=0.004429, ResetLoadersForSaveUnMarkAllObjects=0.235245, TagPackageExports=28.433460, BeginCacheForCookedPlatformData=0.004984, SerializeImports=28.862988, GatherLocalizableTextData=15.568413, MarkNames=0.073615, SerializeSummary=0.013839, SerializeNames=0.098802, SerializeGatherableTextData=0.219468, BuildExportMap=0.179060, SortExportsNonSeekfree=3.622472, SortExportsSeekfreeConstructor=0.008859, SortExportsSeekfreeInner=28.861050, SortExportsSeekfree=0.005811, BuildDependencyMap=0.151940, SerializeImportMap=0.021033, SerializeExportMap=0.105169, SerializeDependencyMap=0.026569, SerializeStringAssetReferenceMap=0.002768, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.600960, SerializeExports=38.206581, SerializeBulkData=0.008579, MoveFile=4.673321, UnaccountedTime=1.392640, RunGuid=RunID4EE3E23B486521478636CCB3A60F6D23
