CookerStat, GenerateAssetRegistry=0.028506, Initialize=0.120945, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_0, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/GameInstances/WoaLGameInstance.uasset, AutoPackageBackupDelegate=9.822108, FlushAsyncLoading=0.012729, FlushStreamingFunc=0.079706, BlockTillAllRequestsFinished=0.009686, ResetLoadersForSaveUnMarkAllObjects=0.721507, TagPackageExports=1.617368, BeginCacheForCookedPlatformData=0.003599, SerializeImports=2.063222, GatherLocalizableTextData=0.640694, MarkNames=0.017434, SerializeSummary=0.016052, SerializeNames=0.076108, SerializeGatherableTextData=0.107937, BuildExportMap=0.050094, SortExportsNonSeekfree=0.157751, SortExportsSeekfreeConstructor=0.059225, SortExportsSeekfreeInner=1.258139, SortExportsSeekfree=0.004426, BuildDependencyMap=0.020757, SerializeImportMap=0.012454, SerializeExportMap=0.012457, SerializeDependencyMap=0.002488, SerializeStringAssetReferenceMap=0.002492, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.270113, SerializeExports=2.859730, SerializeBulkData=0.017989, MoveFile=3.840830, UnaccountedTime=1.439139, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_1, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/WoaLSaveGame.uasset, AutoPackageBackupDelegate=9.703655, FlushAsyncLoading=0.011623, FlushStreamingFunc=0.078879, BlockTillAllRequestsFinished=0.008024, ResetLoadersForSaveUnMarkAllObjects=0.337921, TagPackageExports=0.364766, BeginCacheForCookedPlatformData=0.002213, SerializeImports=0.925198, GatherLocalizableTextData=0.311077, MarkNames=0.009686, SerializeSummary=0.012729, SerializeNames=0.048157, SerializeGatherableTextData=0.009410, BuildExportMap=0.027124, SortExportsNonSeekfree=0.021309, SortExportsSeekfreeConstructor=0.051200, SortExportsSeekfreeInner=0.485431, SortExportsSeekfree=0.003044, BuildDependencyMap=0.009965, SerializeImportMap=0.006642, SerializeExportMap=0.007197, SerializeDependencyMap=0.003323, SerializeStringAssetReferenceMap=0.002768, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.138655, SerializeExports=0.854626, SerializeBulkData=0.005532, MoveFile=3.388058, UnaccountedTime=1.245961, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_2, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/WoaLSaveGame.uasset, AutoPackageBackupDelegate=6.757852, FlushAsyncLoading=0.003323, FlushStreamingFunc=0.088286, BlockTillAllRequestsFinished=0.006642, ResetLoadersForSaveUnMarkAllObjects=0.249356, TagPackageExports=0.481281, BeginCacheForCookedPlatformData=0.002213, SerializeImports=1.018744, GatherLocalizableTextData=0.286996, MarkNames=0.008855, SerializeSummary=0.014666, SerializeNames=0.054523, SerializeGatherableTextData=0.083026, BuildExportMap=0.033211, SortExportsNonSeekfree=0.021033, SortExportsSeekfreeConstructor=0.050649, SortExportsSeekfreeInner=0.622701, SortExportsSeekfree=0.003047, BuildDependencyMap=0.008855, SerializeImportMap=0.006918, SerializeExportMap=0.006087, SerializeDependencyMap=0.001386, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.157751, SerializeExports=1.147158, SerializeBulkData=0.005260, MoveFile=4.508648, UnaccountedTime=1.482587, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_3, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/WoaLSaveGame.uasset, AutoPackageBackupDelegate=6.451208, FlushAsyncLoading=0.003044, FlushStreamingFunc=0.097971, BlockTillAllRequestsFinished=0.004705, ResetLoadersForSaveUnMarkAllObjects=0.220023, TagPackageExports=0.487093, BeginCacheForCookedPlatformData=0.002213, SerializeImports=0.972249, GatherLocalizableTextData=0.287827, MarkNames=0.009131, SerializeSummary=0.010241, SerializeNames=0.052862, SerializeGatherableTextData=0.081088, BuildExportMap=0.032105, SortExportsNonSeekfree=0.021033, SortExportsSeekfreeConstructor=0.048432, SortExportsSeekfreeInner=0.575103, SortExportsSeekfree=0.003044, BuildDependencyMap=0.009410, SerializeImportMap=0.006642, SerializeExportMap=0.005811, SerializeDependencyMap=0.001386, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.146680, SerializeExports=1.158506, SerializeBulkData=0.004705, MoveFile=4.081890, UnaccountedTime=1.245961, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_4, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/WoaLSaveGame.uasset, AutoPackageBackupDelegate=6.750379, FlushAsyncLoading=0.004705, FlushStreamingFunc=0.070021, BlockTillAllRequestsFinished=0.007194, ResetLoadersForSaveUnMarkAllObjects=0.254896, TagPackageExports=0.842452, BeginCacheForCookedPlatformData=0.002213, SerializeImports=1.395408, GatherLocalizableTextData=0.474639, MarkNames=0.009410, SerializeSummary=0.014115, SerializeNames=0.062544, SerializeGatherableTextData=0.094652, BuildExportMap=0.033211, SortExportsNonSeekfree=0.021864, SortExportsSeekfreeConstructor=0.052307, SortExportsSeekfreeInner=1.013208, SortExportsSeekfree=0.021033, BuildDependencyMap=0.011072, SerializeImportMap=0.008859, SerializeExportMap=0.007194, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.190686, SerializeExports=2.010364, SerializeBulkData=0.005532, MoveFile=3.554113, UnaccountedTime=1.299098, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_5, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/WoaLSaveGame.uasset, AutoPackageBackupDelegate=9.719983, FlushAsyncLoading=0.008304, FlushStreamingFunc=0.062548, BlockTillAllRequestsFinished=0.007469, ResetLoadersForSaveUnMarkAllObjects=0.256278, TagPackageExports=0.933226, BeginCacheForCookedPlatformData=0.002213, SerializeImports=1.500301, GatherLocalizableTextData=0.554618, MarkNames=0.013284, SerializeSummary=0.012178, SerializeNames=0.062823, SerializeGatherableTextData=0.089947, BuildExportMap=0.040129, SortExportsNonSeekfree=0.113472, SortExportsSeekfreeConstructor=0.049539, SortExportsSeekfreeInner=1.027875, SortExportsSeekfree=0.003044, BuildDependencyMap=0.027679, SerializeImportMap=0.009410, SerializeExportMap=0.010516, SerializeDependencyMap=0.003599, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.251573, SerializeExports=2.111655, SerializeBulkData=0.004981, MoveFile=3.265735, UnaccountedTime=0.117619, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_6, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Saved/Autosaves/Game/GameInstances/WoaLGameInstance_Auto1.uasset, AutoPackageBackupDelegate=9.342209, FlushAsyncLoading=0.006087, FlushStreamingFunc=0.063103, BlockTillAllRequestsFinished=0.005256, ResetLoadersForSaveUnMarkAllObjects=0.243273, TagPackageExports=1.105364, BeginCacheForCookedPlatformData=0.002217, SerializeImports=1.710635, GatherLocalizableTextData=0.645120, MarkNames=0.015501, SerializeSummary=0.011623, SerializeNames=0.069465, SerializeGatherableTextData=0.094648, BuildExportMap=0.044838, SortExportsNonSeekfree=0.135057, SortExportsSeekfreeConstructor=0.048988, SortExportsSeekfreeInner=1.208320, SortExportsSeekfree=0.003599, BuildDependencyMap=0.016879, SerializeImportMap=0.008583, SerializeExportMap=0.011347, SerializeDependencyMap=0.002213, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.243273, SerializeExports=2.705298, SerializeBulkData=0.004426, MoveFile=3.773857, UnaccountedTime=0.136163, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_7, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/GameInstances/WoaLGameInstance.uasset, AutoPackageBackupDelegate=7.048171, FlushAsyncLoading=0.004981, FlushStreamingFunc=0.086628, BlockTillAllRequestsFinished=0.006087, ResetLoadersForSaveUnMarkAllObjects=0.261258, TagPackageExports=1.077138, BeginCacheForCookedPlatformData=0.002217, SerializeImports=1.748551, GatherLocalizableTextData=0.653423, MarkNames=0.026569, SerializeSummary=0.010792, SerializeNames=0.066973, SerializeGatherableTextData=0.104338, BuildExportMap=0.048157, SortExportsNonSeekfree=0.135057, SortExportsSeekfreeConstructor=0.049818, SortExportsSeekfreeInner=1.272805, SortExportsSeekfree=0.014115, BuildDependencyMap=0.019927, SerializeImportMap=0.008024, SerializeExportMap=0.010796, SerializeDependencyMap=0.003874, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.239950, SerializeExports=2.779748, SerializeBulkData=0.004981, MoveFile=3.527544, UnaccountedTime=1.216900, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_8, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/WoaLSaveGameMeta.uasset, AutoPackageBackupDelegate=0.094652, FlushAsyncLoading=0.003874, FlushStreamingFunc=0.066143, BlockTillAllRequestsFinished=0.005536, ResetLoadersForSaveUnMarkAllObjects=0.230264, TagPackageExports=0.896968, BeginCacheForCookedPlatformData=0.002492, SerializeImports=1.390152, GatherLocalizableTextData=0.542719, MarkNames=0.012733, SerializeSummary=0.010792, SerializeNames=0.060055, SerializeGatherableTextData=0.081643, BuildExportMap=0.039298, SortExportsNonSeekfree=0.161350, SortExportsSeekfreeConstructor=0.059780, SortExportsSeekfreeInner=1.092914, SortExportsSeekfree=0.002768, BuildDependencyMap=0.015497, SerializeImportMap=0.009961, SerializeExportMap=0.011072, SerializeDependencyMap=0.003874, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.252679, SerializeExports=2.146251, SerializeBulkData=0.007197, MoveFile=3.668692, UnaccountedTime=1.374375, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_9, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Blueprints/SaveState/WoaLSaveGameMeta.uasset, AutoPackageBackupDelegate=10.055966, FlushAsyncLoading=0.007749, FlushStreamingFunc=0.063654, BlockTillAllRequestsFinished=0.006367, ResetLoadersForSaveUnMarkAllObjects=0.256553, TagPackageExports=0.176571, BeginCacheForCookedPlatformData=0.001937, SerializeImports=0.692721, GatherLocalizableTextData=0.201758, MarkNames=0.013284, SerializeSummary=0.010792, SerializeNames=0.068083, SerializeGatherableTextData=0.004426, BuildExportMap=0.035979, SortExportsNonSeekfree=0.160798, SortExportsSeekfreeConstructor=0.048708, SortExportsSeekfreeInner=0.287272, SortExportsSeekfree=0.003323, BuildDependencyMap=0.015497, SerializeImportMap=0.007194, SerializeExportMap=0.011072, SerializeDependencyMap=0.003874, SerializeStringAssetReferenceMap=0.001941, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.211716, SerializeExports=0.349548, SerializeBulkData=0.004150, MoveFile=3.451437, UnaccountedTime=1.309060, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
SavePackageTransactionIdA3D859AE40A67B87890C34BBE0219884_10, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/Maps/ThirdPersonExampleMap.umap, AutoPackageBackupDelegate=19.648642, FlushAsyncLoading=0.014391, FlushStreamingFunc=0.066973, BlockTillAllRequestsFinished=0.007197, ResetLoadersForSaveUnMarkAllObjects=107.258003, TagPackageExports=16.712528, BeginCacheForCookedPlatformData=0.003874, SerializeImports=18.251017, GatherLocalizableTextData=27.082056, MarkNames=0.186812, SerializeSummary=0.029888, SerializeNames=0.623256, SerializeGatherableTextData=0.188749, BuildExportMap=0.572335, SortExportsNonSeekfree=3.522284, SortExportsSeekfreeConstructor=0.061166, SortExportsSeekfreeInner=68.869316, SortExportsSeekfree=0.006367, BuildDependencyMap=0.252679, SerializeImportMap=0.085518, SerializeExportMap=0.101570, SerializeDependencyMap=0.029337, SerializeStringAssetReferenceMap=0.002768, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.108535, SerializeExports=26.168480, SerializeBulkData=112.974152, MoveFile=4.319899, UnaccountedTime=0.281185, RunGuid=RunIDA4B699DC4D437F1DAB08B2B8784FBD41
