CookerStat, GenerateAssetRegistry=0.024077, Initialize=0.120942, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
DDCTransactionIdB44189414B25C9601AAF97A5F5BFF6F8_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_B8167714488247EA8487C9A066052B28_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.29-13.40.51, Duration=14.090251, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
DDCTransactionIdD105D4154613926B08F67E8C733177FF_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_B8167714488247EA8487C9A066052B2__1D1DEFFAF8A9C49FDF2E3F0299D71597A14131A5, StartTime=2016.06.29-13.40.51, HierarchicalDDC=, DataSize=674328, Duration=4.536047, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
DDCTransactionIdB44189414B25C9601AAF97A5F5BFF6F8_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_657F631F4BEC4ADF0E7E7D9F4981505E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.29-13.40.55, Duration=13.315056, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
DDCTransactionIdB724CD1C422AD54BA3689DAA84925396_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_657F631F4BEC4ADF0E7E7D9F4981505__F1044774B81214B445C3F0D0BE5FEF109A0E409B, StartTime=2016.06.29-13.40.55, HierarchicalDDC=, DataSize=674328, Duration=4.234105, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_0, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/HUD/Elli_Icon.uasset, AutoPackageBackupDelegate=8.710649, FlushAsyncLoading=0.008579, FlushStreamingFunc=0.043727, BlockTillAllRequestsFinished=0.005536, ResetLoadersForSaveUnMarkAllObjects=1.009054, TagPackageExports=0.032380, BeginCacheForCookedPlatformData=0.001661, SerializeImports=0.560157, GatherLocalizableTextData=0.058394, MarkNames=0.004981, SerializeSummary=0.014946, SerializeNames=0.026844, SerializeGatherableTextData=0.002492, BuildExportMap=0.011902, SortExportsNonSeekfree=0.005256, SortExportsSeekfreeConstructor=0.062548, SortExportsSeekfreeInner=0.131182, SortExportsSeekfree=0.003323, BuildDependencyMap=0.008579, SerializeImportMap=0.008579, SerializeExportMap=0.004705, SerializeDependencyMap=0.001386, SerializeStringAssetReferenceMap=0.001658, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.200144, SerializeExports=0.105444, SerializeBulkData=0.059780, MoveFile=25.683048, UnaccountedTime=1.328710, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_1, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=10.422949, FlushAsyncLoading=0.013836, FlushStreamingFunc=0.073340, BlockTillAllRequestsFinished=0.006922, ResetLoadersForSaveUnMarkAllObjects=0.533864, TagPackageExports=51.792858, BeginCacheForCookedPlatformData=0.007473, SerializeImports=56.976795, GatherLocalizableTextData=72.777962, MarkNames=1.312658, SerializeSummary=0.026569, SerializeNames=0.492353, SerializeGatherableTextData=0.661172, BuildExportMap=0.625744, SortExportsNonSeekfree=11.214748, SortExportsSeekfreeConstructor=0.075281, SortExportsSeekfreeInner=62.215527, SortExportsSeekfree=0.008579, BuildDependencyMap=0.564031, SerializeImportMap=0.034593, SerializeExportMap=0.309139, SerializeDependencyMap=0.065040, SerializeStringAssetReferenceMap=0.003044, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.463107, SerializeExports=78.037727, SerializeBulkData=0.013284, MoveFile=4.087977, UnaccountedTime=1.651410, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_2, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=5.267795, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.062823, BlockTillAllRequestsFinished=0.006918, ResetLoadersForSaveUnMarkAllObjects=0.260431, TagPackageExports=53.622223, BeginCacheForCookedPlatformData=0.007194, SerializeImports=58.946201, GatherLocalizableTextData=118.087509, MarkNames=1.059424, SerializeSummary=0.024080, SerializeNames=0.443086, SerializeGatherableTextData=1.043931, BuildExportMap=0.470210, SortExportsNonSeekfree=10.380876, SortExportsSeekfreeConstructor=0.067808, SortExportsSeekfreeInner=64.734016, SortExportsSeekfree=0.009134, BuildDependencyMap=0.551853, SerializeImportMap=0.035148, SerializeExportMap=0.316609, SerializeDependencyMap=0.083305, SerializeStringAssetReferenceMap=0.003874, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.297603, SerializeExports=82.308640, SerializeBulkData=0.013284, MoveFile=3.778011, UnaccountedTime=1.532126, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_3, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.823323, FlushAsyncLoading=0.003874, FlushStreamingFunc=0.082474, BlockTillAllRequestsFinished=0.006367, ResetLoadersForSaveUnMarkAllObjects=0.239395, TagPackageExports=54.679985, BeginCacheForCookedPlatformData=0.007749, SerializeImports=58.826916, GatherLocalizableTextData=119.929604, MarkNames=1.053061, SerializeSummary=0.020757, SerializeNames=0.456095, SerializeGatherableTextData=1.088209, BuildExportMap=0.478514, SortExportsNonSeekfree=10.583464, SortExportsSeekfreeConstructor=0.065591, SortExportsSeekfreeInner=63.540085, SortExportsSeekfree=0.009965, BuildDependencyMap=0.541057, SerializeImportMap=0.033211, SerializeExportMap=0.324912, SerializeDependencyMap=0.117898, SerializeStringAssetReferenceMap=0.004154, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.215129, SerializeExports=79.845505, SerializeBulkData=0.012174, MoveFile=4.088532, UnaccountedTime=1.549564, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_4, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.745830, FlushAsyncLoading=0.002768, FlushStreamingFunc=0.081643, BlockTillAllRequestsFinished=0.004426, ResetLoadersForSaveUnMarkAllObjects=0.223897, TagPackageExports=50.669502, BeginCacheForCookedPlatformData=0.007473, SerializeImports=58.312973, GatherLocalizableTextData=134.774567, MarkNames=1.236830, SerializeSummary=0.022139, SerializeNames=0.456095, SerializeGatherableTextData=1.149096, BuildExportMap=0.472978, SortExportsNonSeekfree=10.889556, SortExportsSeekfreeConstructor=0.063933, SortExportsSeekfreeInner=62.390438, SortExportsSeekfree=0.009410, BuildDependencyMap=0.571780, SerializeImportMap=0.033211, SerializeExportMap=0.313010, SerializeDependencyMap=0.062823, SerializeStringAssetReferenceMap=0.002768, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.253325, SerializeExports=79.739784, SerializeBulkData=0.012178, MoveFile=3.661219, UnaccountedTime=1.544580, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_5, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=5.135778, FlushAsyncLoading=0.004705, FlushStreamingFunc=0.062548, BlockTillAllRequestsFinished=0.010241, ResetLoadersForSaveUnMarkAllObjects=0.255171, TagPackageExports=56.882420, BeginCacheForCookedPlatformData=0.007473, SerializeImports=59.317333, GatherLocalizableTextData=286.213806, MarkNames=1.195036, SerializeSummary=0.023801, SerializeNames=0.456370, SerializeGatherableTextData=2.545889, BuildExportMap=0.524454, SortExportsNonSeekfree=10.691676, SortExportsSeekfreeConstructor=0.068914, SortExportsSeekfreeInner=66.431641, SortExportsSeekfree=0.010241, BuildDependencyMap=0.593923, SerializeImportMap=0.035703, SerializeExportMap=0.319101, SerializeDependencyMap=0.065316, SerializeStringAssetReferenceMap=0.003044, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.781377, SerializeExports=81.948586, SerializeBulkData=0.013836, MoveFile=3.871277, UnaccountedTime=1.502789, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_6, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=10.959577, FlushAsyncLoading=0.014115, FlushStreamingFunc=0.068635, BlockTillAllRequestsFinished=0.008024, ResetLoadersForSaveUnMarkAllObjects=0.279527, TagPackageExports=61.681664, BeginCacheForCookedPlatformData=0.005536, SerializeImports=64.341858, GatherLocalizableTextData=288.413177, MarkNames=1.117270, SerializeSummary=0.021584, SerializeNames=0.481006, SerializeGatherableTextData=2.595425, BuildExportMap=0.519197, SortExportsNonSeekfree=10.991957, SortExportsSeekfreeConstructor=0.068914, SortExportsSeekfreeInner=68.903084, SortExportsSeekfree=0.009131, BuildDependencyMap=0.600286, SerializeImportMap=0.036534, SerializeExportMap=0.322144, SerializeDependencyMap=0.117898, SerializeStringAssetReferenceMap=0.004429, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.631650, SerializeExports=85.234238, SerializeBulkData=0.014666, MoveFile=4.228849, UnaccountedTime=1.625393, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_7, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.888360, FlushAsyncLoading=0.003044, FlushStreamingFunc=0.075832, BlockTillAllRequestsFinished=0.005260, ResetLoadersForSaveUnMarkAllObjects=0.229154, TagPackageExports=64.356247, BeginCacheForCookedPlatformData=0.005532, SerializeImports=65.658112, GatherLocalizableTextData=287.929138, MarkNames=1.051676, SerializeSummary=0.020482, SerializeNames=0.464674, SerializeGatherableTextData=2.617568, BuildExportMap=0.600286, SortExportsNonSeekfree=10.792971, SortExportsSeekfreeConstructor=0.068910, SortExportsSeekfreeInner=70.288811, SortExportsSeekfree=0.009965, BuildDependencyMap=0.631005, SerializeImportMap=0.034593, SerializeExportMap=0.317439, SerializeDependencyMap=0.064209, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.244945, SerializeExports=91.045303, SerializeBulkData=0.012457, MoveFile=4.404590, UnaccountedTime=1.542643, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_8, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.823319, FlushAsyncLoading=0.003047, FlushStreamingFunc=0.083856, BlockTillAllRequestsFinished=0.004705, ResetLoadersForSaveUnMarkAllObjects=0.251293, TagPackageExports=63.304569, BeginCacheForCookedPlatformData=0.005256, SerializeImports=66.712555, GatherLocalizableTextData=294.153107, MarkNames=1.096789, SerializeSummary=0.020754, SerializeNames=0.451118, SerializeGatherableTextData=2.608433, BuildExportMap=0.499822, SortExportsNonSeekfree=10.956533, SortExportsSeekfreeConstructor=0.063930, SortExportsSeekfreeInner=70.878029, SortExportsSeekfree=0.009410, BuildDependencyMap=0.601392, SerializeImportMap=0.034872, SerializeExportMap=0.318822, SerializeDependencyMap=0.146959, SerializeStringAssetReferenceMap=0.003599, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.846968, SerializeExports=91.534615, SerializeBulkData=0.012733, MoveFile=4.527468, UnaccountedTime=1.610726, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_9, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.904136, FlushAsyncLoading=0.004150, FlushStreamingFunc=0.065316, BlockTillAllRequestsFinished=0.006087, ResetLoadersForSaveUnMarkAllObjects=0.254892, TagPackageExports=62.707603, BeginCacheForCookedPlatformData=0.005811, SerializeImports=66.107841, GatherLocalizableTextData=285.603271, MarkNames=1.053613, SerializeSummary=0.019927, SerializeNames=0.451390, SerializeGatherableTextData=2.606776, BuildExportMap=0.498716, SortExportsNonSeekfree=11.017143, SortExportsSeekfreeConstructor=0.098247, SortExportsSeekfreeInner=69.800606, SortExportsSeekfree=0.009410, BuildDependencyMap=0.644013, SerializeImportMap=0.034317, SerializeExportMap=0.330448, SerializeDependencyMap=0.064760, SerializeStringAssetReferenceMap=0.002768, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.928336, SerializeExports=87.814171, SerializeBulkData=0.013284, MoveFile=4.577007, UnaccountedTime=1.579177, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
SavePackageTransactionId7B7BDCD3497D6D83EFE8E0B01C8FEB33_10, Filename=../../../../../../Users/MagicUser/Documents/ChildrenAmongGiants/WhisperOfALullaby/Content/2DNonDiegetic/Menus/StartMenu.uasset, AutoPackageBackupDelegate=4.708745, FlushAsyncLoading=0.003044, FlushStreamingFunc=0.102956, BlockTillAllRequestsFinished=0.006087, ResetLoadersForSaveUnMarkAllObjects=0.255723, TagPackageExports=68.278999, BeginCacheForCookedPlatformData=0.005536, SerializeImports=67.692551, GatherLocalizableTextData=289.746613, MarkNames=1.089316, SerializeSummary=0.021588, SerializeNames=0.484601, SerializeGatherableTextData=2.529282, BuildExportMap=0.506464, SortExportsNonSeekfree=11.039007, SortExportsSeekfreeConstructor=0.067528, SortExportsSeekfreeInner=73.952240, SortExportsSeekfree=0.009134, BuildDependencyMap=0.654805, SerializeImportMap=0.032656, SerializeExportMap=0.335153, SerializeDependencyMap=0.089392, SerializeStringAssetReferenceMap=0.005256, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.357862, SerializeExports=90.126198, SerializeBulkData=0.011347, MoveFile=4.088808, UnaccountedTime=1.568381, RunGuid=RunID40B25A904C996A77AAFB559A98A7DAEC
