CookerStat, GenerateAssetRegistry=0.023246, Initialize=0.120666, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionIdA4D28AD9480948F3C21BA1A07366AB6A_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1AA5204C440CDA5936957F926042F95A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.08-13.16.48, Duration=516.206604, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId0D9DAE0E44C8CCF5D3FB4E999EDDDF85_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1AA5204C440CDA5936957F926042F__35750EDBCB32B97CAED2ED7E14B18B3BDE10E749, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=2097417, Duration=8.050862, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId157DE1DE442AD83EB224F49FAB3049A1_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1AA5204C440CDA5936957F926042F__58C7D66672D8B56C58E627403F30432AAF32786F, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=524553, Duration=5.108654, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId77DE17B04751CC99F3854F9E50862BEA_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1AA5204C440CDA5936957F926042F__90C57B5A2DBD5D372479AF5C10F001BCE1EC4D49, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=131335, Duration=4.794262, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId77DE17B04751CC99F3854F9E50862BEA_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1AA5204C440CDA5936957F926042F__F65FDE73E783CD95B8691BC8E3A884EBCD081C23, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=33031, Duration=4.640386, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
MaterialTransactionIdEDA1F33C42F15A78E7A2498C6BDFB983_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ336C91AE545AF30C328160199D072FAB0_Num_SM5__0___TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSForGSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_NonPerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_PerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthVSForGSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_OnePassPointLighttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D34224200000000064000040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210440444444232341414141414141414141414121301214141414141414140443434343444144444444444444440101010101010101010101010101301434143424141414244414130331313141444444442500000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000008000000080000000800000008000000080000000800000049000000100000000900000008000000100000001000000010000000260000001800000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000008000000080000000800000008000000080000000800000013000000100000000A0000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000FBE03882A68518E58C3E3B9642E19EF1BF91C3210000000000000000000000000000000000000000, ShaderCompilation=3068.538818, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId157DE1DE442AD83EB224F49FAB3049A1_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1AA5204C440CDA5936957F926042F__F976BCD708040207C88F713A87AF92AD073B76C7, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=8455, Duration=4.430324, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId0D9DAE0E44C8CCF5D3FB4E999EDDDF85_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1AA5204C440CDA5936957F926042F__E7D49E6FEA49377456A4DBEF3710A7B3A5A764B2, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=4749, Duration=4.069157, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId157DE1DE442AD83EB224F49FAB3049A1_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_AA__BDDDCB398E0E906F62CA664277C5E48CF63B2124, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=27341, Duration=3.884010, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId77DE17B04751CC99F3854F9E50862BEA_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_67135F5D4DC8D68A6F0232A0A1CF555__68B0C478958997869974C778D8E0402D5CCA83E5, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=9530, Duration=3.985580, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId0D9DAE0E44C8CCF5D3FB4E999EDDDF85_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_67135F5D4DC8D68A6__834E9E390C2A0D6533E1215F3EFE69F5B9637794, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=1821, Duration=3.723487, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
DDCTransactionId157DE1DE442AD83EB224F49FAB3049A1_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_79__2969BDD25913DC149D632718A3C13048B69B99CE, StartTime=2016.07.08-13.16.48, HierarchicalDDC=, DataSize=27341, Duration=4.327096, RunGuid=RunIDE15D5F444FC33EA6E95A9EAF6A02F848
